Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Sales ,Quantity,Discount,Profit,Profit Margin,Month-Year,Years,Days to Ship,Discount Impact,AOV,High/Low Profit Flag
11,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706.18",9,20.00%,$85.31,5%,Jun-2014,2014,5,$426.55,$189.58,Profitable
12,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference†phone†- Charcoal black,$911.42,4,20.00%,$68.36,8%,Jun-2014,2014,5,$227.86,$227.86,Profitable
13,CA-2017-114412,4/15/17,4/20/17,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,$15.55,3,20.00%,$5.44,35%,Apr-2017,2017,5,$3.89,$5.18,Profitable
14,CA-2016-161389,12/5/16,12/10/16,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98,3,20.00%,$132.59,33%,Dec-2016,2016,5,$101.99,$135.99,Profitable
15,US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81,5,80.00%,-$123.86,-180%,Nov-2015,2015,4,$275.24,$13.76,Loss
16,US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54,3,80.00%,-$3.82,-150%,Nov-2015,2015,4,$10.18,$0.85,Loss
17,CA-2014-105893,11/11/14,11/18/14,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$665.88,6,0.00%,$13.32,2%,Nov-2014,2014,7,$0.00,$110.98,Profitable
18,CA-2014-167164,5/13/14,5/15/14,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50,2,0.00%,$9.99,18%,May-2014,2014,2,$0.00,$27.75,Profitable
19,CA-2014-143336,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,$8.56,2,0.00%,$2.48,29%,Aug-2014,2014,5,$0.00,$4.28,Profitable
20,CA-2014-143336,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,$213.48,3,20.00%,$16.01,8%,Aug-2014,2014,5,$53.37,$71.16,Profitable
21,CA-2014-143336,8/27/14,9/1/14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72,4,20.00%,$7.38,33%,Aug-2014,2014,5,$5.68,$5.68,Profitable
22,CA-2016-137330,12/9/16,12/13/16,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,$19.46,7,0.00%,$5.06,26%,Dec-2016,2016,4,$0.00,$2.78,Profitable
23,CA-2016-137330,12/9/16,12/13/16,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34,7,0.00%,$15.69,26%,Dec-2016,2016,4,$0.00,$8.62,Profitable
24,US-2017-156909,7/16/17,7/18/17,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37,2,30.00%,-$1.02,-1%,Jul-2017,2017,2,$30.59,$35.69,Loss
25,CA-2015-106320,9/25/15,9/30/15,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,044.63",3,0.00%,$240.26,23%,Sep-2015,2015,5,$0.00,$348.21,Profitable
26,CA-2016-121755,1/16/16,1/20/16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65,2,20.00%,$4.22,36%,Jan-2016,2016,4,$2.91,$5.82,Profitable
27,CA-2016-121755,1/16/16,1/20/16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation†8GB Mini TravelDrive USB 2.0†Flash Drive,$90.57,3,0.00%,$11.77,13%,Jan-2016,2016,4,$0.00,$30.19,Profitable
28,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43",7,50.00%,"-$1,665.05",-54%,Sep-2015,2015,4,"$3,083.43",$440.49,Loss
29,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$9.62,2,70.00%,-$7.05,-73%,Sep-2015,2015,4,$22.44,$4.81,Loss
30,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$124.20,3,20.00%,$15.53,13%,Sep-2015,2015,4,$31.05,$41.40,Profitable
31,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,$3.26,2,20.00%,$1.10,34%,Sep-2015,2015,4,$0.82,$1.63,Profitable
32,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30,6,20.00%,$9.71,11%,Sep-2015,2015,4,$21.58,$14.38,Profitable
33,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",$6.86,6,70.00%,-$5.72,-83%,Sep-2015,2015,4,$16.00,$1.14,Loss
34,US-2015-150630,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,$15.76,2,20.00%,$3.55,23%,Sep-2015,2015,4,$3.94,$7.88,Profitable
35,CA-2017-107727,10/19/17,10/23/17,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,$29.47,3,20.00%,$9.95,34%,Oct-2017,2017,4,$7.37,$9.82,Profitable
36,CA-2016-117590,12/8/16,12/10/16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,"$1,097.54",7,20.00%,$123.47,11%,Dec-2016,2016,2,$274.39,$156.79,Profitable
37,CA-2016-117590,12/8/16,12/10/16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",$190.92,5,60.00%,-$147.96,-78%,Dec-2016,2016,2,$286.38,$38.18,Loss
38,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$113.33,9,20.00%,$35.42,31%,Dec-2015,2015,4,$28.33,$12.59,Profitable
39,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40,3,32.00%,-$46.98,-9%,Dec-2015,2015,4,$250.54,$177.47,Loss
40,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.06,3,30.00%,-$15.15,-7%,Dec-2015,2015,4,$90.88,$70.69,Loss
41,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,$371.17,4,20.00%,$41.76,11%,Dec-2015,2015,4,$92.79,$92.79,Profitable
42,CA-2017-120999,9/10/17,9/15/17,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$147.17,4,20.00%,$16.56,11%,Sep-2017,2017,5,$36.79,$36.79,Profitable
43,CA-2016-101343,7/17/16,7/22/16,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$77.88,2,0.00%,$3.89,5%,Jul-2016,2016,5,$0.00,$38.94,Profitable
44,CA-2017-139619,9/19/17,9/23/17,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$95.62,2,20.00%,$9.56,10%,Sep-2017,2017,4,$23.90,$47.81,Profitable
45,CA-2016-118255,3/11/16,3/13/16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$45.98,2,0.00%,$19.77,43%,Mar-2016,2016,2,$0.00,$22.99,Profitable
46,CA-2016-118255,3/11/16,3/13/16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,$17.46,2,0.00%,$8.21,47%,Mar-2016,2016,2,$0.00,$8.73,Profitable
47,CA-2014-146703,10/20/14,10/25/14,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$211.96,4,0.00%,$8.48,4%,Oct-2014,2014,5,$0.00,$52.99,Profitable
48,CA-2016-169194,6/20/16,6/25/16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation†8gb Micro Traveldrive Usb 2.0†Flash Drive,$45.00,3,0.00%,$4.95,11%,Jun-2016,2016,5,$0.00,$15.00,Profitable
49,CA-2016-169194,6/20/16,6/25/16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$21.80,2,0.00%,$6.10,28%,Jun-2016,2016,5,$0.00,$10.90,Profitable
50,CA-2015-115742,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$38.22,6,0.00%,$17.96,47%,Apr-2015,2015,4,$0.00,$6.37,Profitable
51,CA-2015-115742,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,$75.18,6,0.00%,$35.33,47%,Apr-2015,2015,4,$0.00,$12.53,Profitable
52,CA-2015-115742,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,$6.16,2,0.00%,$2.96,48%,Apr-2015,2015,4,$0.00,$3.08,Profitable
53,CA-2015-115742,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",$89.99,1,0.00%,$17.10,19%,Apr-2015,2015,4,$0.00,$89.99,Profitable
54,CA-2016-105816,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,$15.26,7,0.00%,$6.26,41%,Dec-2016,2016,6,$0.00,$2.18,Profitable
55,CA-2016-105816,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,029.95",5,0.00%,$298.69,29%,Dec-2016,2016,6,$0.00,$205.99,Profitable
56,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,$208.56,6,0.00%,$52.14,25%,Jun-2016,2016,1,$0.00,$34.76,Profitable
57,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,$32.40,5,0.00%,$15.55,48%,Jun-2016,2016,1,$0.00,$6.48,Profitable
58,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,$319.41,5,10.00%,$7.10,2%,Jun-2016,2016,1,$35.49,$63.88,Profitable
59,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",$14.56,2,0.00%,$6.99,48%,Jun-2016,2016,1,$0.00,$7.28,Profitable
60,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation†8gb Micro Traveldrive Usb 2.0†Flash Drive,$30.00,2,0.00%,$3.30,11%,Jun-2016,2016,1,$0.00,$15.00,Profitable
61,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,$48.48,4,20.00%,$16.36,34%,Jun-2016,2016,1,$12.12,$12.12,Profitable
62,CA-2016-111682,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,$1.68,1,0.00%,$0.84,50%,Jun-2016,2016,1,$0.00,$1.68,Profitable
63,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$13.98,2,0.00%,$6.15,44%,Nov-2015,2015,6,$0.00,$6.99,Profitable
64,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$25.82,6,20.00%,$9.36,36%,Nov-2015,2015,6,$6.46,$4.30,Profitable
65,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,$146.73,3,0.00%,$68.96,47%,Nov-2015,2015,6,$0.00,$48.91,Profitable
66,CA-2015-135545,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$79.76,4,0.00%,$22.33,28%,Nov-2015,2015,6,$0.00,$19.94,Profitable
67,US-2015-164175,4/30/15,5/5/15,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$213.12,5,30.00%,-$15.22,-7%,Apr-2015,2015,5,$91.34,$42.62,Loss
68,CA-2014-106376,12/5/14,12/10/14,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$1,113.02",8,20.00%,$111.30,10%,Dec-2014,2014,5,$278.26,$139.13,Profitable
69,CA-2014-106376,12/5/14,12/10/14,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,$167.97,4,20.00%,$62.99,38%,Dec-2014,2014,5,$41.99,$41.99,Profitable
70,CA-2016-119823,6/4/16,6/6/16,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$75.88,2,0.00%,$35.66,47%,Jun-2016,2016,2,$0.00,$37.94,Profitable
71,CA-2016-106075,9/18/16,9/23/16,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$4.62,1,20.00%,$1.73,38%,Sep-2016,2016,5,$1.15,$4.62,Profitable
72,CA-2017-114440,9/14/17,9/17/17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$19.05,3,0.00%,$8.76,46%,Sep-2017,2017,3,$0.00,$6.35,Profitable
73,US-2015-134026,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,$831.94,8,20.00%,-$114.39,-14%,Apr-2015,2015,6,$207.98,$103.99,Loss
74,US-2015-134026,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$97.04,2,20.00%,$1.21,1%,Apr-2015,2015,6,$24.26,$48.52,Profitable
75,US-2015-134026,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,$72.78,1,20.00%,-$18.20,-25%,Apr-2015,2015,6,$18.20,$72.78,Loss
76,US-2017-118038,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,$1.25,3,80.00%,-$1.93,-155%,Dec-2017,2017,2,$4.99,$0.42,Loss
77,US-2017-118038,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",$9.71,3,60.00%,-$5.82,-60%,Dec-2017,2017,2,$14.56,$3.24,Loss
78,US-2017-118038,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$27.24,3,20.00%,$2.72,10%,Dec-2017,2017,2,$6.81,$9.08,Profitable
79,US-2014-147606,11/26/14,12/1/14,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$19.30,5,60.00%,-$14.48,-75%,Nov-2014,2014,5,$28.95,$3.86,Loss
80,CA-2016-127208,6/12/16,6/15/16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$208.16,1,0.00%,$56.20,27%,Jun-2016,2016,3,$0.00,$208.16,Profitable
81,CA-2016-127208,6/12/16,6/15/16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,$16.74,3,0.00%,$8.04,48%,Jun-2016,2016,3,$0.00,$5.58,Profitable
82,CA-2014-139451,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$14.90,5,0.00%,$4.17,28%,Oct-2014,2014,4,$0.00,$2.98,Profitable
83,CA-2014-139451,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",$21.39,1,0.00%,$6.20,29%,Oct-2014,2014,4,$0.00,$21.39,Profitable
84,CA-2015-149734,9/3/15,9/8/15,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$200.98,7,20.00%,$62.81,31%,Sep-2015,2015,5,$50.25,$28.71,Profitable
85,US-2017-119662,11/13/17,11/16/17,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,$230.38,3,20.00%,-$48.95,-21%,Nov-2017,2017,3,$57.59,$76.79,Loss
86,CA-2017-140088,5/28/17,5/30/17,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,$301.96,2,0.00%,$33.22,11%,May-2017,2017,2,$0.00,$150.98,Profitable
